Waktu,Tegangan (V),Arus (A),Daya (W),Energi (kWh)
2020-06-07 11:56:31,220.90,0.00,0.00,2.32
2020-06-07 12:01:33,221.80,0.00,0.00,2.32
2020-06-07 12:06:35,221.00,0.00,0.00,2.32
2020-06-07 12:11:37,219.30,0.00,0.00,2.32
2020-06-07 12:16:38,221.20,0.00,0.00,2.32
2020-06-07 12:21:40,221.70,0.00,0.00,2.32
2020-06-07 12:26:42,221.40,0.00,0.00,2.32
2020-06-07 12:31:44,219.90,0.00,0.00,2.32
2020-06-07 12:36:46,220.80,0.00,0.00,2.32
2020-06-07 12:41:48,221.50,0.00,0.00,2.32
2020-06-07 12:46:49,220.80,0.00,0.00,2.32
2020-06-07 12:51:51,219.50,0.00,0.00,2.32
2020-06-07 12:56:53,220.40,0.00,0.00,2.32
2020-06-07 13:01:55,219.90,0.00,0.00,2.32
2020-06-07 13:06:57,220.70,0.00,0.00,2.32
2020-06-07 13:11:58,221.00,0.00,0.00,2.32
2020-06-07 13:17:00,221.70,0.00,0.00,2.32
2020-06-07 13:22:02,219.40,0.00,0.00,2.32
2020-06-07 13:27:04,220.30,0.00,0.00,2.32
2020-06-07 13:32:06,218.60,0.00,0.00,2.32
2020-06-07 13:37:07,219.60,0.00,0.00,2.32
2020-06-07 13:42:09,219.90,0.00,0.00,2.32
2020-06-07 13:47:11,220.90,0.00,0.00,2.32
2020-06-07 13:52:13,219.60,0.00,0.00,2.32
2020-06-07 13:57:15,220.20,0.00,0.00,2.32
2020-06-07 14:02:17,220.00,0.00,0.00,2.32
2020-06-07 14:07:19,220.50,0.00,0.00,2.32
2020-06-07 14:12:21,220.50,0.00,0.00,2.32
2020-06-07 14:17:22,221.60,0.00,0.00,2.32
2020-06-07 14:22:24,221.30,0.00,0.00,2.32
2020-06-07 14:27:26,221.90,0.00,0.00,2.32
2020-06-07 14:32:28,220.10,0.00,0.00,2.32
2020-06-07 14:37:30,221.00,0.00,0.00,2.32
2020-06-07 14:42:31,220.20,0.00,0.00,2.32
2020-06-07 14:47:33,219.90,0.00,0.00,2.32
2020-06-07 14:52:35,219.50,0.00,0.00,2.32
2020-06-07 14:57:37,220.40,0.00,0.00,2.32
2020-06-07 15:02:39,219.50,0.00,0.00,2.32
2020-06-07 15:07:40,219.70,0.00,0.00,2.32
2020-06-07 15:12:42,215.80,0.00,0.00,2.32
2020-06-07 15:17:44,216.90,0.00,0.00,2.32
2020-06-07 15:22:46,215.80,0.00,0.00,2.32
2020-06-07 15:27:48,216.80,0.00,0.00,2.32
2020-06-07 15:32:49,217.50,0.00,0.00,2.32
2020-06-07 15:37:51,216.10,0.00,0.00,2.32
2020-06-07 15:42:53,218.00,0.00,0.00,2.32
2020-06-07 15:47:55,215.90,0.00,0.00,2.32
2020-06-07 15:52:57,215.80,0.00,0.00,2.32
2020-06-07 15:57:58,218.90,0.00,0.00,2.32
2020-06-07 16:03:00,216.80,0.00,0.00,2.32
2020-06-07 16:08:02,218.10,0.00,0.00,2.32
2020-06-07 16:13:04,217.10,0.00,0.00,2.32
2020-06-07 16:18:07,216.90,0.00,0.00,2.32
2020-06-07 16:23:09,216.90,0.00,0.00,2.32
2020-06-07 16:28:11,218.00,0.00,0.00,2.32
2020-06-07 16:33:12,217.50,0.00,0.00,2.32
2020-06-07 16:38:14,218.80,0.00,0.00,2.32
2020-06-07 16:43:17,218.60,0.00,0.00,2.32
2020-06-07 16:48:18,220.00,0.00,0.00,2.32
2020-06-07 16:53:20,219.70,0.00,0.00,2.32
2020-06-07 16:58:22,219.00,0.00,0.00,2.32
2020-06-07 17:03:24,221.50,0.00,0.00,2.32
2020-06-07 17:08:26,219.20,0.00,0.00,2.32
2020-06-07 17:13:28,221.00,0.00,0.00,2.32
2020-06-07 17:18:30,219.70,0.00,0.00,2.32
2020-06-07 17:23:31,219.00,0.00,0.00,2.32
2020-06-07 17:28:33,217.20,0.00,0.00,2.32
2020-06-07 17:33:35,216.40,0.00,0.00,2.32
2020-06-07 17:38:37,217.20,0.00,0.00,2.32
2020-06-07 17:43:39,215.90,0.00,0.00,2.32
2020-06-07 17:48:41,216.50,0.00,0.00,2.32
2020-06-07 17:53:42,216.30,0.00,0.00,2.32
2020-06-07 17:58:44,215.90,0.00,0.00,2.32
2020-06-07 18:03:46,215.10,0.00,0.00,2.32
2020-06-07 18:08:48,216.80,0.00,0.00,2.32
2020-06-07 18:13:49,215.90,0.00,0.00,2.32
2020-06-07 18:18:51,215.70,0.00,0.00,2.32
2020-06-07 18:23:53,215.60,0.00,0.00,2.32
2020-06-07 18:28:55,217.20,0.00,0.00,2.32
2020-06-07 18:33:57,217.30,0.00,0.00,2.32
2020-06-07 18:38:59,216.90,0.00,0.00,2.32
2020-06-07 18:44:01,217.00,0.00,0.00,2.32
2020-06-07 18:49:03,218.10,0.00,0.00,2.32
2020-06-07 18:54:04,217.00,0.00,0.00,2.32
2020-06-07 18:59:06,217.00,0.00,0.00,2.32
2020-06-07 19:04:08,216.60,0.00,0.00,2.32
2020-06-07 19:09:10,216.90,0.00,0.00,2.32
2020-06-07 19:14:12,217.60,0.00,0.00,2.32
2020-06-07 19:19:14,219.30,0.00,0.00,2.32
2020-06-07 19:24:16,218.40,0.00,0.00,2.32
2020-06-07 19:29:17,220.00,0.00,0.00,2.32
2020-06-07 19:34:19,217.80,0.00,0.00,2.32
2020-06-07 19:39:21,217.80,0.00,0.00,2.32
2020-06-07 19:44:23,219.00,0.00,0.00,2.32
2020-06-07 19:49:25,217.30,0.00,0.00,2.32
2020-06-07 19:54:27,218.10,0.00,0.00,2.32
2020-06-07 19:59:29,215.90,0.00,0.00,2.32
2020-06-07 20:04:31,216.00,0.00,0.00,2.32
2020-06-07 20:09:33,215.30,0.00,0.00,2.32
2020-06-07 20:14:35,216.10,0.00,0.00,2.32
2020-06-07 20:19:36,214.20,0.00,0.00,2.32
2020-06-07 20:24:38,215.40,0.00,0.00,2.32
2020-06-07 20:29:40,217.40,0.00,0.00,2.32
2020-06-07 20:34:42,215.50,0.00,0.00,2.32
2020-06-07 20:39:44,214.20,0.00,0.00,2.32
2020-06-07 20:44:46,214.40,0.00,0.00,2.32
2020-06-07 20:49:48,215.40,0.00,0.00,2.32
2020-06-07 20:54:50,214.90,0.00,0.00,2.32
2020-06-07 20:59:52,215.90,0.00,0.00,2.32
2020-06-07 21:04:54,213.50,0.00,0.00,2.32
2020-06-07 21:09:55,213.60,0.00,0.00,2.32
2020-06-07 21:14:57,213.10,0.00,0.00,2.32
2020-06-07 21:19:59,212.60,0.00,0.00,2.32
2020-06-07 21:25:01,212.80,0.00,0.00,2.32
2020-06-07 21:30:03,213.30,0.00,0.00,2.32
2020-06-07 21:35:05,212.90,0.00,0.00,2.32
2020-06-07 21:40:07,213.30,0.00,0.00,2.32
2020-06-07 21:45:09,214.10,0.00,0.00,2.32
2020-06-07 21:50:11,213.70,0.00,0.00,2.32
2020-06-07 21:55:13,213.10,0.00,0.00,2.32
2020-06-07 22:00:15,214.70,0.00,0.00,2.32
2020-06-07 22:05:17,213.90,0.00,0.00,2.32
2020-06-07 22:10:18,214.90,0.00,0.00,2.32
2020-06-07 22:15:20,212.10,0.00,0.00,2.32
2020-06-07 22:20:22,213.20,0.00,0.00,2.32
2020-06-07 22:25:24,213.30,0.00,0.00,2.32
2020-06-07 22:30:26,210.30,0.00,0.00,2.32
2020-06-07 22:35:27,209.30,0.00,0.00,2.32
2020-06-07 22:40:29,211.90,0.00,0.00,2.32
2020-06-07 22:45:31,209.70,0.00,0.00,2.32
2020-06-07 22:50:33,212.50,0.00,0.00,2.32
2020-06-07 22:55:35,211.80,0.00,0.00,2.32
2020-06-07 23:00:36,212.90,0.00,0.00,2.32
2020-06-07 23:05:38,211.70,0.00,0.00,2.32
2020-06-07 23:10:40,213.40,0.00,0.00,2.32
2020-06-07 23:15:42,211.10,0.00,0.00,2.32
2020-06-07 23:20:44,213.80,0.00,0.00,2.32
2020-06-07 23:25:45,211.90,0.00,0.00,2.32
2020-06-07 23:30:47,212.30,0.00,0.00,2.32
2020-06-07 23:35:49,214.50,0.00,0.00,2.32
2020-06-07 23:40:51,212.90,0.00,0.00,2.32
2020-06-07 23:45:53,214.00,0.00,0.00,2.32
